Num:	Value	Size	Type	Bind	Vis	Ndx	Name
97:	0000000000018ee4	112	FUNC	GLOBAL	DEFAULT	13	_ZN7android24ClampFloatBufferProviderC2Eim
339:	0000000000018ee4	112	FUNC	GLOBAL	DEFAULT	13	_ZN7android24ClampFloatBufferProviderC1Eim
110:	0000000000019064	84	FUNC	GLOBAL	DEFAULT	13	_ZN7android25TimestretchBufferProviderD2Ev
444:	0000000000019064	84	FUNC	GLOBAL	DEFAULT	13	_ZN7android25TimestretchBufferProviderD1Ev
123:	0000000000062cf0	228	FUNC	WEAK	DEFAULT	13	_ZN7android17AudioResamplerDynIisiEC1EiiNS_14AudioResampler11src_qualityE
309:	0000000000062cf0	228	FUNC	WEAK	DEFAULT	13	_ZN7android17AudioResamplerDynIisiEC2EiiNS_14AudioResampler11src_qualityE
129:	0000000000062ca8	12	FUNC	WEAK	DEFAULT	13	_ZN7android17AudioResamplerDynIssiE8InBufferC2Ev
458:	0000000000062ca8	12	FUNC	WEAK	DEFAULT	13	_ZN7android17AudioResamplerDynIssiE8InBufferC1Ev
131:	0000000000019a30	76	FUNC	GLOBAL	DEFAULT	13	_ZN7android18CopyBufferProviderD1Ev
160:	0000000000019a30	76	FUNC	GLOBAL	DEFAULT	13	_ZN7android18CopyBufferProviderD2Ev
162:	0000000000019e84	84	FUNC	GLOBAL	DEFAULT	13	_ZN7android21RecordBufferConverterD1Ev
198:	0000000000019e84	84	FUNC	GLOBAL	DEFAULT	13	_ZN7android21RecordBufferConverterD2Ev
175:	0000000000017f74	1768	FUNC	GLOBAL	DEFAULT	13	_ZN7android23DownmixerBufferProviderC1Ejj14audio_format_tjim
250:	0000000000017f74	1768	FUNC	GLOBAL	DEFAULT	13	_ZN7android23DownmixerBufferProviderC2Ejj14audio_format_tjim
176:	0000000000055e4c	148	FUNC	GLOBAL	DEFAULT	13	_ZN7android14AudioResamplerD1Ev
219:	0000000000055e4c	148	FUNC	GLOBAL	DEFAULT	13	_ZN7android14AudioResamplerD2Ev
195:	0000000000062cb4	44	FUNC	WEAK	DEFAULT	13	_ZN7android17AudioResamplerDynIssiE8InBufferD1Ev
230:	0000000000062cb4	44	FUNC	WEAK	DEFAULT	13	_ZN7android17AudioResamplerDynIssiE8InBufferD2Ev
196:	0000000000018d64	356	FUNC	GLOBAL	DEFAULT	13	_ZN7android22ReformatBufferProviderC1Ei14audio_format_tS1_m
273:	0000000000018d64	356	FUNC	GLOBAL	DEFAULT	13	_ZN7android22ReformatBufferProviderC2Ei14audio_format_tS1_m
197:	0000000000019a7c	32	FUNC	GLOBAL	DEFAULT	13	_ZN7android21RecordBufferConverterC2Ej14audio_format_tjjS1_j
407:	0000000000019a7c	32	FUNC	GLOBAL	DEFAULT	13	_ZN7android21RecordBufferConverterC1Ej14audio_format_tjjS1_j
202:	0000000000062e1c	76	FUNC	WEAK	DEFAULT	13	_ZN7android17AudioResamplerDynIisiED1Ev
235:	0000000000062e1c	76	FUNC	WEAK	DEFAULT	13	_ZN7android17AudioResamplerDynIisiED2Ev
215:	0000000000019664	612	FUNC	GLOBAL	DEFAULT	13	_ZN7android28AdjustChannelsBufferProviderC2E14audio_format_tmmmS1_Pv
355:	0000000000019664	612	FUNC	GLOBAL	DEFAULT	13	_ZN7android28AdjustChannelsBufferProviderC1E14audio_format_tmmmS1_Pv
245:	000000000005c928	12	FUNC	WEAK	DEFAULT	13	_ZN7android17AudioResamplerDynIfffE8InBufferC1Ev
291:	000000000005c928	12	FUNC	WEAK	DEFAULT	13	_ZN7android17AudioResamplerDynIfffE8InBufferC2Ev
259:	00000000000565a8	152	FUNC	GLOBAL	DEFAULT	13	_ZN7android18AudioResamplerSincC2EiiNS_14AudioResampler11src_qualityE
441:	00000000000565a8	152	FUNC	GLOBAL	DEFAULT	13	_ZN7android18AudioResamplerSincC1EiiNS_14AudioResampler11src_qualityE
269:	000000000005c970	228	FUNC	WEAK	DEFAULT	13	_ZN7android17AudioResamplerDynIssiEC2EiiNS_14AudioResampler11src_qualityE
448:	000000000005c970	228	FUNC	WEAK	DEFAULT	13	_ZN7android17AudioResamplerDynIssiEC1EiiNS_14AudioResampler11src_qualityE
272:	0000000000069f84	12	FUNC	WEAK	DEFAULT	13	_ZN7android17AudioResamplerDynIisiE8InBufferC1Ev
308:	0000000000069f84	12	FUNC	WEAK	DEFAULT	13	_ZN7android17AudioResamplerDynIisiE8InBufferC2Ev
283:	00000000000571d4	228	FUNC	WEAK	DEFAULT	13	_ZN7android17AudioResamplerDynIfffEC1EiiNS_14AudioResampler11src_qualityE
423:	00000000000571d4	228	FUNC	WEAK	DEFAULT	13	_ZN7android17AudioResamplerDynIfffEC2EiiNS_14AudioResampler11src_qualityE
287:	0000000000018728	180	FUNC	GLOBAL	DEFAULT	13	_ZN7android23DownmixerBufferProviderD1Ev
325:	0000000000018728	180	FUNC	GLOBAL	DEFAULT	13	_ZN7android23DownmixerBufferProviderD2Ev
288:	0000000000018f78	236	FUNC	GLOBAL	DEFAULT	13	_ZN7android25TimestretchBufferProviderC2Ei14audio_format_tjRK19audio_playback_rate
415:	0000000000018f78	236	FUNC	GLOBAL	DEFAULT	13	_ZN7android25TimestretchBufferProviderC1Ei14audio_format_tjRK19audio_playback_rate
310:	0000000000062c98	16	FUNC	WEAK	DEFAULT	13	_ZN7android17AudioResamplerDynIssiE9ConstantsC1Ev
342:	0000000000062c98	16	FUNC	WEAK	DEFAULT	13	_ZN7android17AudioResamplerDynIssiE9ConstantsC2Ev
343:	000000000005ca9c	76	FUNC	WEAK	DEFAULT	13	_ZN7android17AudioResamplerDynIssiED1Ev
381:	000000000005ca9c	76	FUNC	WEAK	DEFAULT	13	_ZN7android17AudioResamplerDynIssiED2Ev
348:	0000000000057300	76	FUNC	WEAK	DEFAULT	13	_ZN7android17AudioResamplerDynIfffED1Ev
384:	0000000000057300	76	FUNC	WEAK	DEFAULT	13	_ZN7android17AudioResamplerDynIfffED2Ev
360:	000000000005c934	44	FUNC	WEAK	DEFAULT	13	_ZN7android17AudioResamplerDynIfffE8InBufferD1Ev
395:	000000000005c934	44	FUNC	WEAK	DEFAULT	13	_ZN7android17AudioResamplerDynIfffE8InBufferD2Ev
369:	0000000000018aac	664	FUNC	GLOBAL	DEFAULT	13	_ZN7android19RemixBufferProviderC1Ejj14audio_format_tm
398:	0000000000018aac	664	FUNC	GLOBAL	DEFAULT	13	_ZN7android19RemixBufferProviderC2Ejj14audio_format_tm
377:	000000000005c918	16	FUNC	WEAK	DEFAULT	13	_ZN7android17AudioResamplerDynIfffE9ConstantsC1Ev
418:	000000000005c918	16	FUNC	WEAK	DEFAULT	13	_ZN7android17AudioResamplerDynIfffE9ConstantsC2Ev
380:	0000000000069f90	44	FUNC	WEAK	DEFAULT	13	_ZN7android17AudioResamplerDynIisiE8InBufferD1Ev
424:	0000000000069f90	44	FUNC	WEAK	DEFAULT	13	_ZN7android17AudioResamplerDynIisiE8InBufferD2Ev
410:	0000000000069f74	16	FUNC	WEAK	DEFAULT	13	_ZN7android17AudioResamplerDynIisiE9ConstantsC1Ev
452:	0000000000069f74	16	FUNC	WEAK	DEFAULT	13	_ZN7android17AudioResamplerDynIisiE9ConstantsC2Ev
413:	0000000000056640	56	FUNC	GLOBAL	DEFAULT	13	_ZN7android18AudioResamplerSincD1Ev
456:	0000000000056640	56	FUNC	GLOBAL	DEFAULT	13	_ZN7android18AudioResamplerSincD2Ev
